交易日期,品種代碼,魚貨名稱,上價元/公斤,中價元/公斤,下價元/公斤,交易量公斤,交易量漲跌幅+(-)%,平均價元/公斤,平均價漲跌幅+(-)%
2019-03-24,1041,虱目魚,100.6,91.6,76.7,3685.7,-9.8,90.4,0.6
2019-03-23,1041,虱目魚,100.7,92.3,71.8,4086.2,4.6,89.9,0.3
2019-03-22,1041,虱目魚,100.4,89.8,78.5,3906.9,11.1,89.6,-1.0
2019-03-21,1041,虱目魚,100.4,90.6,80.0,3517.6,-11.8,90.5,3.1
2019-03-20,1041,虱目魚,100.4,89.6,70.0,3987.8,-2.8,87.8,-1.0
2019-03-19,1041,虱目魚,101.0,90.9,70.0,4104.3,0.0,88.7,0.0
2019-03-18,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-17,1041,虱目魚,100.7,86.6,66.5,3837.7,-14.2,85.4,-2.1
2019-03-16,1041,虱目魚,103.2,88.4,67.5,4471.7,1.5,87.2,1.8
2019-03-15,1041,虱目魚,100.4,88.3,63.4,4404.8,26.5,85.7,-7.5
2019-03-14,1041,虱目魚,100.8,94.6,78.3,3481.9,-12.7,92.6,4.5
2019-03-13,1041,虱目魚,103.1,90.3,69.0,3986.8,-16.8,88.6,4.5
2019-03-12,1041,虱目魚,100.4,84.6,69.6,4790.3,0.0,84.8,0.0
2019-03-11,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-10,1041,虱目魚,100.2,90.6,69.4,6540.0,88.5,88.3,1.6
2019-03-09,1041,虱目魚,100.4,88.5,68.8,3469.6,19.1,86.9,-3.4
2019-03-08,1041,虱目魚,100.3,92.3,72.8,2912.9,-23.2,90.0,-1.6
2019-03-07,1041,虱目魚,100.4,92.4,80.0,3791.6,-13.8,91.5,5.2
2019-03-06,1041,虱目魚,100.6,88.9,67.7,4399.5,21.1,87.0,-1.4
2019-03-05,1041,虱目魚,101.0,94.2,57.7,3631.6,0.0,88.2,0.0
2019-03-04,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-03,1041,虱目魚,100.3,91.4,68.1,6704.4,37.0,88.5,3.0
2019-03-02,1041,虱目魚,108.7,84.0,68.8,4893.8,26.8,85.9,-4.3
2019-03-01,1041,虱目魚,110.8,89.8,68.7,3860.2,1.8,89.8,1.0
2019-02-28,1041,虱目魚,100.9,91.3,70.0,3790.6,14.8,88.9,-3.8
2019-02-27,1041,虱目魚,100.5,97.8,68.0,3302.0,-31.9,92.4,8.5
2019-02-26,1041,虱目魚,100.9,85.1,70.0,4848.8,0.0,85.2,0.0
2019-02-25,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-24,1041,虱目魚,100.3,91.0,69.0,3776.0,-13.0,88.5,4.0
2019-02-23,1041,虱目魚,100.4,85.2,69.6,4341.0,8.1,85.1,-7.2
2019-02-22,1041,虱目魚,101.4,93.0,78.0,4014.6,-0.8,91.7,-0.7
2019-02-21,1041,虱目魚,102.2,93.8,77.8,4045.6,0.0,92.3,0.0
2019-02-20,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-19,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-18,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-17,1041,虱目魚,102.4,86.1,68.6,4380.2,25.8,85.9,-10.1
2019-02-16,1041,虱目魚,104.3,97.8,80.0,3481.8,-24.5,95.6,11.3
2019-02-15,1041,虱目魚,100.9,89.1,61.3,4609.8,2.4,85.9,-0.9
2019-02-14,1041,虱目魚,101.6,90.2,61.1,4501.5,0.0,86.7,0.0
2019-02-13,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-12,1041,虱目魚,102.6,92.0,59.6,4417.1,34.8,87.6,14.8
2019-02-11,1041,虱目魚,95.4,76.1,57.8,3276.5,6.5,76.3,-8.0
2019-02-10,1041,虱目魚,101.6,84.1,60.5,3077.9,0.0,82.9,0.0
2019-02-09,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-08,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-07,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-06,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-05,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-04,1041,虱目魚,100.4,100.1,100.0,1506.5,-74.1,100.1,16.4
2019-02-03,1041,虱目魚,100.6,89.2,61.5,5812.0,6.3,86.0,-4.6
2019-02-02,1041,虱目魚,100.2,93.7,69.3,5465.3,-3.7,90.1,1.2
2019-02-01,1041,虱目魚,102.9,91.0,69.3,5678.2,-9.0,89.0,2.8
2019-01-31,1041,虱目魚,100.3,89.8,63.3,6237.6,7.3,86.6,-1.0
2019-01-30,1041,虱目魚,100.6,90.2,66.1,5811.9,37.0,87.5,0.5
2019-01-29,1041,虱目魚,100.7,88.3,70.0,4243.1,0.0,87.1,0.0
2019-01-28,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-27,1041,虱目魚,101.4,92.1,67.5,4413.0,11.8,89.0,-5.4
2019-01-26,1041,虱目魚,103.3,94.6,83.2,3946.4,-11.6,94.1,10.3
2019-01-25,1041,虱目魚,100.6,85.8,68.5,4462.9,14.8,85.3,-8.9
2019-01-24,1041,虱目魚,100.2,94.8,83.2,3889.1,2.4,93.6,6.8
2019-01-23,1041,虱目魚,100.3,89.9,68.4,3798.2,-23.5,87.6,2.6
2019-01-22,1041,虱目魚,101.7,85.1,70.0,4965.3,0.0,85.4,0.0
2019-01-21,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-20,1041,虱目魚,102.1,86.5,66.6,4152.9,-7.1,85.6,0.1
2019-01-19,1041,虱目魚,102.6,86.3,66.0,4472.1,6.7,85.5,-1.7
